size,label,n,median_ms,p25_ms,p75_ms,mean_ms,std_ms,min_ms,max_ms,best_median_ms,rel_to_best,speedup_vs_best
10MiB,serde-saphyr (budget=none),64,109.08537592763416,108.95983795833334,109.32789878472222,109.19022143011617,0.36305477335652603,108.396175,110.55762116666668,109.08537592763416,1.0,1.0
10MiB,serde-saphyr (budget=max),64,110.0095712621212,109.91050654583333,110.14728437949736,110.04349323046156,0.24213235515859577,109.4316525,110.71664364285715,109.08537592763416,1.008472220282764,0.9915989552192241
10MiB,serde-yaml (norway),64,155.80823604836309,155.66100454166667,156.07866170075755,155.98193203931208,0.6193962759382755,155.25075575,158.77173325,109.08537592763416,1.4283146088410996,0.7001258642949653
10MiB,serde-yaml,64,157.178882203125,156.90705142418034,157.53382632461407,157.2366914591551,0.392739423193446,156.64742211363637,158.3814501,109.08537592763416,1.4408795025594947,0.694020560514365
10MiB,serde-yml,64,168.2373458072696,168.0529611627451,168.45125262663936,168.28074496751523,0.3380901826206501,167.7430578125,169.27972496825396,109.08537592763416,1.5422538940405366,0.6484016697018085
10MiB,serde-yaml (bw),64,210.3971107625,200.86463916666668,211.30540186201299,206.69031646695333,5.534187374291162,199.7366528255814,216.30834007142857,109.08537592763416,1.928738008860828,0.5184737353678381
1MiB,serde-saphyr (budget=none),64,10.754058807800224,10.740324051513815,10.770371690958605,10.767064371740679,0.051742212083285374,10.718678484567901,11.03420462962963,10.754058807800224,1.0,1.0
1MiB,serde-saphyr (budget=max),64,10.86738682998199,10.851395960869565,10.886839300671001,10.871861871218904,0.027234732112975613,10.820637444444444,10.9618964291939,10.754058807800224,1.010538162772512,0.9895717320129706
1MiB,serde-yaml,64,14.64458328021978,14.418372691017314,14.858803291997356,14.7004481883832,0.352232083642825,14.352904305084746,16.41433573333333,10.754058807800224,1.3617726610903085,0.7343369628226684
1MiB,serde-yaml (norway),64,14.733139009482759,14.706994632150735,14.771728342582037,14.74586946238505,0.05243655918088262,14.6751674375,14.945341574999999,10.754058807800224,1.3700072942502783,0.7299231209912931
1MiB,serde-yml,64,16.010112492072075,15.98641742312802,16.04109391179337,16.02541191853785,0.06084215109523595,15.951136277777778,16.265511119528618,10.754058807800224,1.4887506920140223,0.6717041378144871
1MiB,serde-yaml (bw),64,18.175275534052556,18.145797079927885,18.22919040676511,18.19209766970309,0.087589999262976,18.0685190625,18.622832765625,10.754058807800224,1.6900851909857062,0.5916861501027479
25MiB,serde-saphyr (budget=none),64,273.87000293572873,273.58913586599095,274.30842346243116,273.9890092481597,0.5546592654987706,272.71729469999997,275.55240767142857,273.87000293572873,1.0,1.0
25MiB,serde-saphyr (budget=max),64,276.32857715,276.13313194830334,276.6374544257576,276.4493779333133,0.5616929979722355,275.6677545,279.0787665,273.87000293572873,1.0089771577314666,0.9911027146029248
25MiB,serde-yaml (norway),64,409.92686542472086,409.54033204166666,410.5246868164894,410.1345051434305,0.8480100450810808,408.9049085,412.2656951891892,273.87000293572873,1.496793591961664,0.6680947896693108
25MiB,serde-yaml,64,410.79137502222227,410.4596775467033,411.5826885263158,411.3229592121572,1.7625970943998297,409.2627566666667,421.0378425,273.87000293572873,1.499950234121208,0.666688785568863
25MiB,serde-yml,64,441.2312459411538,441.0108314350649,442.01563801710523,441.93016232141474,2.568992777682776,439.9445038,459.92130764285713,273.87000293572873,1.6110973863928466,0.6206949427426866
25MiB,serde-yaml (bw),64,540.8142525086955,540.3249244358974,541.60373465625,541.2254310587133,2.2422812751463503,538.9455895614035,556.1416242352941,273.87000293572873,1.974711529964867,0.5064030795514681
50MiB,serde-saphyr (budget=none),64,549.154048554054,548.6792429761904,549.8279793982558,549.3784356753441,0.9937382360473919,547.5266162727272,551.7010203214286,549.154048554054,1.0,1.0
50MiB,serde-saphyr (budget=max),64,553.983653882272,553.324779734365,555.0314902353878,554.1316621634899,1.235530364384551,551.8436797999999,558.93687776,549.154048554054,1.0087946275565747,0.9912820436228171
50MiB,serde-yaml (norway),64,789.10872425,788.3944865625,790.1873796875,790.3360692213541,4.611951246069493,786.8023428333333,819.117348,549.154048554054,1.4369533035907809,0.6959168384255182
50MiB,serde-yaml,64,820.9884742083334,820.1159545833333,822.2110016458333,821.4245428645834,1.6764647318765533,819.0994193333333,826.67155125,549.154048554054,1.4950057754650647,0.6688937370084214
50MiB,serde-yml,64,850.8861852272727,849.3319822727273,853.0051169318181,851.5064021690341,2.9091831062763003,847.9400506363636,864.240615,549.154048554054,1.5494489887995766,0.6453907209780053
50MiB,serde-yaml (bw),64,1051.3353712777778,1049.4315614444445,1052.6984518611112,1051.3919611302083,2.845866548996415,1045.5829925555556,1062.0309778888889,549.154048554054,1.9144634807773675,0.5223395536351261
5MiB,serde-saphyr (budget=none),64,54.42316951671958,54.353988345679014,54.48657004727564,54.446839098891985,0.1468058058990712,54.20589142261905,55.01588947,54.42316951671958,1.0,1.0
5MiB,serde-saphyr (budget=max),64,54.83501380126437,54.74859950355078,54.976647693326946,54.881068011003144,0.26030018332355287,54.53025644444445,56.40872841666666,54.42316951671958,1.0075674439434892,0.9924893921603192
5MiB,serde-yaml,64,76.89821013316993,76.761754765625,77.04425521219308,76.9544478909814,0.3122514847359005,76.48490516666668,78.10097775446428,54.42316951671958,1.4129682415785374,0.7077299903661117
5MiB,serde-yaml (norway),64,77.3608130035636,77.25721989438658,77.5544458392857,77.49873849542381,0.468683380066121,77.05981609999999,79.370946,54.42316951671958,1.4214683505303243,0.7034979003415152
5MiB,serde-yml,64,83.5654644360119,83.41875819485294,83.68019123405612,83.58577572866163,0.20692294064664846,83.30869425,84.36826777777777,54.42316951671958,1.5354758860624496,0.6512638909389743
5MiB,serde-yaml (bw),64,97.6066451026936,97.41491623511905,97.8005493051177,97.65580998063655,0.34670635487056195,97.13634426666667,98.91461674358975,54.42316951671958,1.7934759399249511,0.557576479136846
