size,label,n,median_ms,p25_ms,p75_ms,mean_ms,std_ms,min_ms,max_ms,best_median_ms,rel_to_best,speedup_vs_best
10MiB,serde-json,64,11.645495877902299,11.62955843,11.667219286863798,11.649867631890524,0.030524746215065787,11.601923471111112,11.797100026666667,11.645495877902299,1.0,1.0
10MiB,serde-saphyr (budget=none),64,137.90798409981684,137.82085921767003,138.0467048364899,137.93939868761353,0.18204689375817093,137.59699366666666,138.63524796153845,11.645495877902299,11.842173621949552,0.08444395698999826
10MiB,serde-saphyr (budget=max),64,138.8969022727273,138.82305673886492,138.9571138757326,138.91185491724565,0.1717644003863949,138.53533866666666,139.84949022222222,11.645495877902299,11.92709213321595,0.08384273290009087
10MiB,serde-yaml,64,173.77027951190476,173.7008719921875,173.94335774552846,173.86244646701059,0.27955720946768403,173.5444635,175.3652695882353,11.645495877902299,14.921672836760814,0.06701661475490969
10MiB,serde-yaml (ng),64,174.43034032567516,174.20733731088362,174.68570249553574,174.51915669572045,0.47669200037853043,173.94801883333335,176.3348456969697,11.645495877902299,14.978352330763546,0.06676301758145539
10MiB,serde-yaml (norway),64,175.13722327083332,175.0290029848485,175.28709289473684,175.2075105220331,0.31503375429306096,174.75520575,176.47168971212122,11.645495877902299,15.03905244629057,0.06649355094487042
10MiB,serde-yml,64,184.44326792627896,184.3443970625,184.61466627549194,184.527136039588,0.2744860356698816,184.2411670576923,185.90306402586208,11.645495877902299,15.838163514897289,0.06313863340654398
10MiB,serde-yaml (bw),64,212.41095775969828,211.9529519996276,213.0996688131927,212.42429329885366,0.79649514747914,210.76613875,213.69627175,11.645495877902299,18.23975208842372,0.05482530656952696
1MiB,serde-json,64,0.877688179693962,0.8769160644141738,0.8790310290454971,0.8784749609339233,0.0027049488265030765,0.8763720504079254,0.8946395747863247,0.877688179693962,1.0,1.0
1MiB,serde-saphyr (budget=none),64,11.824976112125604,11.821261982902543,11.828779885270936,11.826867169236294,0.009579902256210285,11.81420967,11.86236692,0.877688179693962,13.472866999586133,0.0742232518164633
1MiB,serde-saphyr (budget=max),64,11.906463230189473,11.897553299285715,11.916424117852273,11.911173853623088,0.027889319938806716,11.87964814,12.098388199999999,0.877688179693962,13.565709902053252,0.0737152723462444
1MiB,serde-yaml (ng),64,16.19774332070707,16.166895763157896,16.329502141233768,16.333043620049942,0.39565807788522,16.13150727777778,18.465615615277777,0.877688179693962,18.455009074356003,0.054185830847926345
1MiB,serde-yaml,64,16.20573996458713,16.191303767986543,16.245801077020204,16.22865921425211,0.05984448239942831,16.172899585858584,16.50379036111111,0.877688179693962,18.464120104976068,0.05415909311218684
1MiB,serde-yaml (norway),64,16.334321960790597,16.315253926918615,16.362348574916616,16.35642378722334,0.07287383184716803,16.300587131944443,16.772081666666665,0.877688179693962,18.61062087732132,0.05373275865388177
1MiB,serde-yml,64,17.298395471261053,17.284257194400176,17.34010201302521,17.31286156933642,0.03599964918939871,17.27035405882353,17.437920805273833,0.877688179693962,19.70904459177378,0.050738126617125984
1MiB,serde-yaml (bw),64,19.743326426004728,19.706852636019537,19.759520223015876,19.749070281687104,0.10110873045838195,19.662063187878786,20.468216466666664,0.877688179693962,22.494693312252377,0.044454929263486404
25MiB,serde-json,64,32.1945494903517,32.17494288543544,32.23477386611111,32.21838668688652,0.0684907898748831,32.157846121212124,32.49926818518519,32.1945494903517,1.0,1.0
25MiB,serde-saphyr (budget=none),64,303.3718957748956,303.2136451180556,303.99129523295454,303.6860973802424,0.8349129879506986,302.59001366666666,308.11866992105263,32.1945494903517,9.423082496178813,0.10612238621549938
25MiB,serde-saphyr (budget=max),64,305.6615408995798,305.5217773611111,306.00830776875,306.35545426244994,2.6880534430785,304.9313185,323.706104,32.1945494903517,9.494201525981369,0.10532744615368114
25MiB,serde-yaml (norway),64,440.1999014095371,439.9677837727273,440.487502425,441.48474579221806,7.216737835790751,439.394158,495.3320753333333,32.1945494903517,13.67311884707253,0.07313620331868205
25MiB,serde-yaml,64,458.638308303311,458.2182825571121,459.0109028753369,458.67080489543133,0.8178491424815142,457.2937166666667,461.7074400555556,32.1945494903517,14.245837123478282,0.07019594505625225
25MiB,serde-yaml (ng),64,459.61374088269235,459.32336861964507,459.89885875892855,459.75295472429616,1.2813879954030625,458.346651,468.7860545,32.1945494903517,14.276135189294475,0.07004696906694255
25MiB,serde-yml,64,463.6165495631579,463.39251256150794,464.1382924088008,463.87112553060496,0.7148398794454153,463.063152,466.0618258,32.1945494903517,14.400467063597146,0.06944219208888676
25MiB,serde-yaml (bw),64,534.1308003237577,533.5046739537879,535.2202461857576,534.5281447083153,1.544325479488953,532.2848802692308,540.281253627451,32.1945494903517,16.590721373002285,0.060274654580558376
50MiB,serde-json,64,67.02991378150537,66.99134566785715,67.16713608114753,67.12549851415241,0.20851541050885944,66.95600697500001,67.72355321666667,67.02991378150537,1.0,1.0
50MiB,serde-saphyr (budget=none),64,607.2748741875,606.7844765,607.8362069375,607.421195859375,0.8029872099021891,606.121227875,609.9127150625,67.02991378150537,9.059759142269058,0.11037821031404875
50MiB,serde-saphyr (budget=max),64,611.62707121875,611.0875804531249,612.60531728125,612.1018957617188,1.3392840060102325,610.728446375,616.5284739375,67.02991378150537,9.124688317703129,0.1095927844526881
50MiB,serde-yaml (norway),64,885.7999152272728,885.4636082954546,886.5629361818181,886.3668525511364,2.425190307007303,884.9161675454545,903.4333351818182,67.02991378150537,13.21499410121096,0.0756716190973074
50MiB,serde-yaml (ng),64,920.8556335454546,920.0339534772727,922.1840246818182,922.5586866803977,6.780424510824795,919.2835289090909,955.866206,67.02991378150537,13.7379802776881,0.07279090374180427
50MiB,serde-yaml,64,921.4049530454545,919.7582548863636,923.0611740454545,922.40382884375,5.301500011095865,917.4190443636364,954.7271648181819,67.02991378150537,13.746175417275934,0.07274750755349876
50MiB,serde-yml,64,931.8523096818182,931.5946197954545,932.1176335454545,931.9120638877841,0.44924483323055503,931.2941780909091,933.3760428181819,67.02991378150537,13.902036525354015,0.0719319071113241
50MiB,serde-yaml (bw),64,1074.1612573888888,1072.9563422777778,1075.3335404166664,1074.3525729635417,1.7769534337896196,1070.7843641111112,1080.2531437777777,67.02991378150537,16.02510277560982,0.06240209588683564
5MiB,serde-json,64,5.027685022882309,5.019598404559858,5.033835503912664,5.027556298039722,0.010829985169951518,5.00555451724138,5.062654090517242,5.027685022882309,1.0,1.0
5MiB,serde-saphyr (budget=none),64,60.24119924121212,60.206787765826334,60.29175425311476,60.2510390637445,0.07132288763336389,60.13545414,60.4631017125,5.027685022882309,11.981896035061599,0.08345924527084742
5MiB,serde-saphyr (budget=max),64,60.650645485753174,60.612674775345624,60.706624461764704,60.66438416853271,0.07706665365029843,60.5159526,60.9592848625,5.027685022882309,12.063334359594172,0.08289582052450392
5MiB,serde-yaml,64,84.96141197083332,84.92097703908189,85.01021546980168,84.9820096966231,0.0848620168406697,84.868097125,85.2889443125,5.027685022882309,16.89871413665568,0.059176100140711875
5MiB,serde-yaml (norway),64,85.66848000120967,85.61625193194445,85.74295599507069,85.77323895859348,0.44149672864883127,85.55295932692307,88.67438525,5.027685022882309,17.039349046591028,0.058687687966581366
5MiB,serde-yaml (ng),64,85.67539072115385,85.56173187462122,85.81577841785715,85.70749112709206,0.21875310066833115,85.24951525,86.53502491666667,5.027685022882309,17.040723579783286,0.05868295411976381
5MiB,serde-yml,64,90.61899895046224,90.57168729511278,90.68874638493051,90.67633614524524,0.17058558559366732,90.48756508333332,91.288172625,5.027685022882309,18.024000815093125,0.055481577606377466
5MiB,serde-yaml (bw),64,104.62244772516834,104.32392950116551,104.84071320075137,104.58112122173861,0.3370216480416244,103.99328022222223,105.35218165925926,5.027685022882309,20.809268529950508,0.048055509426518914
