size,label,n,median_ms,p25_ms,p75_ms,mean_ms,std_ms,min_ms,max_ms,best_median_ms,rel_to_best,speedup_vs_best
10MiB,serde-saphyr (budget=none),64,115.48636908768361,115.4489704654195,115.56874510199653,115.5779429339593,0.26261285510271404,115.3457448115942,116.66788981481483,115.48636908768361,1.0,1.0
10MiB,serde-saphyr (budget=max),64,116.6973071882716,116.65040924707603,116.79782233289474,116.74507644857513,0.14857293167459382,116.5759835106383,117.32150566666667,115.48636908768361,1.0104855500277143,0.9896232558422763
10MiB,serde-yaml (norway),64,163.14003715310457,163.08365183141024,163.303500140625,163.21505832335967,0.25954669116938345,162.8746029047619,164.60042966666666,115.48636908768361,1.4126345684072867,0.7078971606418192
10MiB,serde-yml,64,167.3512366619318,167.3064074286053,167.41475683368645,167.48258756150972,0.5235745971598037,167.21839376666668,170.97461828260867,115.48636908768361,1.4490994736778808,0.6900837507462163
10MiB,serde-yaml,64,171.78596501257184,171.7046475622826,171.86557329117647,171.90714014428832,0.5305711896545787,171.58078483333335,175.5694694,115.48636908768361,1.4874999220223337,0.6722689428046812
10MiB,serde-yaml (ng),64,171.92516681509434,171.89831383617422,172.0041266028439,171.96727786703684,0.11498858947244836,171.8221275,172.40242463636363,115.48636908768361,1.488705274685355,0.6717246301228795
10MiB,yaml-spanned,64,204.91242487599206,204.78295889114088,205.09995050625,204.92692312853626,0.34598458356617395,203.696437,206.03140784210527,115.48636908768361,1.7743429505555868,0.5635889046629218
10MiB,serde-yaml (bw),64,217.2458610255682,206.9847045739796,217.40122689375,213.6478605924219,5.040626347207832,206.5192453583333,218.3524703857143,115.48636908768361,1.8811385511706855,0.5315929543720593
1MiB,serde-saphyr (budget=none),64,11.109946641797444,11.10316789291958,11.120474814170757,11.111473071750128,0.017127699868359554,11.07716876025641,11.20243884375,11.109946641797444,1.0,1.0
1MiB,serde-saphyr (budget=max),64,11.19973181206044,11.193292199361082,11.21337934998554,11.205974414103046,0.018760183639030554,11.18427717651099,11.264272698717948,11.109946641797444,1.0080815122842453,0.9919832749775034
1MiB,serde-yaml (norway),64,15.393289092961062,15.379306254945876,15.414004530870447,15.400036847219468,0.026783547616921484,15.36928324401914,15.495845090460525,11.109946641797444,1.3855412261881601,0.7217396213833029
1MiB,serde-yaml,64,15.75262604485646,15.74489130187247,15.762810865477576,15.756849060643015,0.027053396503236057,15.726244710526316,15.940777789473685,11.109946641797444,1.4178849415525085,0.7052758448122407
1MiB,serde-yml,64,15.810509402065648,15.796611181941923,15.82485950230263,15.811316120581116,0.019050074468957335,15.778321447368421,15.857403974658869,11.109946641797444,1.4230949897260454,0.7026937816656259
1MiB,serde-yaml (ng),64,16.438606095882065,16.421723220996732,16.454948713144518,16.440462610653928,0.027507647296640143,16.39552898717949,16.5553681005291,11.109946641797444,1.479629617125012,0.6758448117191962
1MiB,yaml-spanned,64,17.510345352941176,17.47504677727362,17.54242781139449,17.521603146582564,0.07476724987751823,17.440259567298106,17.931830991596637,11.109946641797444,1.5760962601804387,0.6344790132840715
1MiB,serde-yaml (bw),64,18.790217711397062,18.764637364401647,18.808369920842633,18.784733326438253,0.04275885762769154,18.695892677083332,18.871311828125,11.109946641797444,1.6912968457206785,0.5912622627602017
25MiB,serde-saphyr (budget=none),64,290.8437319223947,290.7109435465278,291.0838837973214,290.9241274708791,0.40312883942541733,290.1791609655172,292.31166343548387,290.8437319223947,1.0,1.0
25MiB,serde-saphyr (budget=max),64,294.67073349246454,294.46803261881865,295.02900489484125,294.8825623544285,1.2771217824471792,293.660491,304.2105452,290.8437319223947,1.0131582741865346,0.9870126173552701
